employee_id,first_name,last_name,age,email,job_title,department,salary,hire_date,manager_id
1,Erek,Planque,25,eplanque0@posterous.com,Research Nurse,540,error: undefined method `id' for nil:NilClass,5/4/2018,1
2,Arleta,Ferson,47,aferson1@homestead.com,Chemical Engineer,403,error: undefined method `id' for nil:NilClass,7/19/2021,2
3,Nicolas,Bolzen,37,nbolzen2@delicious.com,Computer Systems Analyst IV,739,error: undefined method `id' for nil:NilClass,5/28/2011,3
4,Ardelia,Cullington,55,acullington3@foxnews.com,Research Associate,941,error: undefined method `id' for nil:NilClass,5/9/2018,4
5,Gwyneth,Scoggins,55,gscoggins4@deviantart.com,Quality Engineer,653,error: undefined method `id' for nil:NilClass,10/18/2014,5
6,Ralina,Pelling,57,rpelling5@imgur.com,Project Manager,683,error: undefined method `id' for nil:NilClass,5/11/2019,6
7,Grissel,Abbet,41,gabbet6@ucoz.com,Programmer Analyst II,771,error: undefined method `id' for nil:NilClass,1/19/2021,7
8,Norrie,Gierardi,36,ngierardi7@wsj.com,Staff Scientist,999,error: undefined method `id' for nil:NilClass,12/4/2019,8
9,Waverly,Leyzell,46,wleyzell8@webeden.co.uk,Civil Engineer,956,error: undefined method `id' for nil:NilClass,4/18/2021,9
10,Karrah,Reeday,21,kreeday9@t.co,Developer III,904,error: undefined method `id' for nil:NilClass,9/12/2020,10
11,Dunstan,Teasdale-Markie,18,dteasdalemarkiea@mashable.com,Civil Engineer,903,error: undefined method `id' for nil:NilClass,11/21/2020,11
12,Robin,Wharrier,57,rwharrierb@cmu.edu,Executive Secretary,204,error: undefined method `id' for nil:NilClass,4/25/2013,12
13,Had,Lamming,23,hlammingc@patch.com,Food Chemist,811,error: undefined method `id' for nil:NilClass,12/27/2012,13
14,Beverie,Roglieri,33,broglierid@dmoz.org,Clinical Specialist,522,error: undefined method `id' for nil:NilClass,5/5/2013,14
15,Augusta,Beckhouse,60,abeckhousee@miitbeian.gov.cn,Senior Quality Engineer,269,error: undefined method `id' for nil:NilClass,10/15/2010,15
16,Sergio,MacGiolla Pheadair,52,smacgiollapheadairf@baidu.com,Statistician I,806,error: undefined method `id' for nil:NilClass,9/5/2021,16
17,Briano,Glavin,32,bglaving@wordpress.com,Senior Quality Engineer,233,error: undefined method `id' for nil:NilClass,6/28/2010,17
18,Bertrand,Riediger,51,briedigerh@behance.net,VP Quality Control,416,error: undefined method `id' for nil:NilClass,6/23/2014,18
19,Jamie,Prichet,28,jpricheti@home.pl,Librarian,699,error: undefined method `id' for nil:NilClass,1/12/2011,19
